o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
128545,718,O,64182.86,1995-10-21,1-URGENT,"Clerk#000000071",0,s about the ironic theodolites play even ac
128546,9361,F,47897.27,1994-08-03,2-HIGH,"Clerk#000000851",0,unusual requests dazzle caref
128547,718,F,217760.14,1993-12-11,5-LOW,"Clerk#000000704",0,gular dolphins play furiously around the furiously bold foxes. slyly re
128548,1426,O,258184.92,1998-05-02,5-LOW,"Clerk#000000534",0,"lets use alongside of the even, special pin"
128549,10078,O,151076.94,1995-07-19,5-LOW,"Clerk#000000923",0,ts boost carefully above the regular
128550,3638,O,386750.87,1996-08-24,3-MEDIUM,"Clerk#000000162",0,onic foxes cajole upon the carefully final dependencies. foxes about the
128551,6400,F,149905.60,1993-08-08,4-NOT SPECIFIED,"Clerk#000000351",0,express ideas again
128576,8557,O,78415.96,1997-08-29,4-NOT SPECIFIED,"Clerk#000000946",0,kages use about the bold 
128577,6199,F,29532.66,1993-02-19,4-NOT SPECIFIED,"Clerk#000000319",0,ular asymptotes boost furiously.
128578,13784,O,145795.86,1996-06-24,1-URGENT,"Clerk#000000248",0,sts boost blithely slyly ironic dependencies. pending requests bo
128579,4571,F,195867.31,1995-03-06,4-NOT SPECIFIED,"Clerk#000000021",0,ly special deposits. slyly even asymptotes ag
128580,9502,O,224812.53,1997-06-24,4-NOT SPECIFIED,"Clerk#000000258",0,. blithely ironic platelets wake. packages cajole blithely even foxe
128581,4219,O,76961.02,1996-04-24,4-NOT SPECIFIED,"Clerk#000000220",0,ajole. fluffily final deposits caj
128582,7426,O,273513.57,1995-10-08,5-LOW,"Clerk#000000038",0,es. regular deposits sleep above the fluffi
128583,14512,O,242438.26,1995-10-13,1-URGENT,"Clerk#000000633",0,ial theodolites abo
128608,3139,F,229937.36,1993-11-16,1-URGENT,"Clerk#000000532",0,ccounts around the deposits do 
128609,4615,P,172080.46,1995-04-23,4-NOT SPECIFIED,"Clerk#000000404",0,to the quickly special excuses. requests nag carefully furious
128610,12664,F,28220.98,1992-01-02,1-URGENT,"Clerk#000000710",0,"anently. ironic, pending foxes after the care"
128611,13966,F,238879.67,1992-07-12,1-URGENT,"Clerk#000000989",0,. packages use furiously above the carefully ironic asympto
128612,2995,F,155492.27,1992-04-22,4-NOT SPECIFIED,"Clerk#000000762",0,"blithely furiously unusual requests. regular, i"
128613,9391,F,104444.03,1993-06-09,3-MEDIUM,"Clerk#000000638",0,der the quickly ironic 
128614,13540,P,197903.80,1995-04-21,4-NOT SPECIFIED,"Clerk#000000378",0,"intain quickly unusual requests. pending, even "
128615,13393,O,77432.52,1995-11-20,3-MEDIUM,"Clerk#000000006",0,atelets. carefully final packages haggle? never fi
128640,12910,F,103379.18,1993-10-09,4-NOT SPECIFIED,"Clerk#000000763",0,telets use slyly across the furiously unusua
128641,4483,O,117167.93,1996-12-15,1-URGENT,"Clerk#000000129",0,ly alongside of the deposits: slyly regular idea
128642,1610,O,88565.24,1995-09-30,5-LOW,"Clerk#000000018",0,ly special instructions. quickly ironic pinto beans wake abou
128643,14356,O,248745.82,1998-01-02,2-HIGH,"Clerk#000000530",0,foxes. sometimes unusual theodolites boost furiousl
128644,5693,O,22656.60,1997-02-26,1-URGENT,"Clerk#000000631",0,al excuses. pending packages haggle across the theodolites.
128645,13421,F,144193.52,1992-06-14,2-HIGH,"Clerk#000000798",0,"egular, final asymptotes haggle special foxes. carefully regula"
128646,9847,O,163743.47,1995-09-29,3-MEDIUM,"Clerk#000000432",0,accounts. slyly unusual excuses use blithely. carefully ev
128647,12299,O,287676.74,1997-07-16,2-HIGH,"Clerk#000000186",0,l deposits. furiously pending requests after the carefully
128672,1379,O,185311.03,1995-07-27,4-NOT SPECIFIED,"Clerk#000000703",0,"final, bold foxes according to the even reques"
128673,11251,O,55988.33,1997-10-25,2-HIGH,"Clerk#000000305",0,egular patterns integrate slyly. ironic theod
128674,4915,F,243328.38,1994-07-19,2-HIGH,"Clerk#000000126",0,uctions sublate aft
128675,4634,F,174449.93,1994-08-13,2-HIGH,"Clerk#000000712",0,zzle blithely at the blithely even packages. entic
128676,9821,O,186914.02,1996-08-22,5-LOW,"Clerk#000000218",0,yly furiously regular asymptotes: regular foxes about the slyly 
128677,4162,O,63078.61,1996-05-13,5-LOW,"Clerk#000000719",0,oxes haggle. accounts are slyly according to t
128678,5285,O,134737.95,1997-04-23,2-HIGH,"Clerk#000000151",0,nts are carefully evenly regular packa
128679,8738,O,271700.74,1996-05-08,4-NOT SPECIFIED,"Clerk#000000471",0,press theodolites. evenly bold excuses n
128704,8653,F,237776.13,1992-11-06,1-URGENT,"Clerk#000000335",0,refully regular pains haggle slyly 
128705,4660,O,143919.05,1997-08-18,1-URGENT,"Clerk#000000957",0,ual theodolites believe carefully accounts. 
128706,5129,O,117593.03,1996-09-30,4-NOT SPECIFIED,"Clerk#000000048",0,l deposits wake fluffily final instruc
128707,12008,O,108485.53,1995-06-03,1-URGENT,"Clerk#000000934",0,"ve the bold, ironic deposits doze furiously pending deposit"
128708,7166,O,161345.48,1995-05-05,2-HIGH,"Clerk#000000106",0,players detect carefully. theodolites cajole blithely unusual accounts. f
128709,2876,F,116634.49,1994-11-01,4-NOT SPECIFIED,"Clerk#000000266",0,w blithely warthogs. req
128710,4600,F,178781.74,1992-01-02,5-LOW,"Clerk#000000289",0,ing to the furiously regular foxes eat carefully furiously ironic deposits. 
128711,5665,O,292038.70,1998-04-26,2-HIGH,"Clerk#000000980",0, carefully. bold ideas are. regular requests
128736,7037,F,145139.04,1993-02-08,3-MEDIUM,"Clerk#000000173",0,fluffily bold theodolites shall sleep according to the fluffily regular Tiresi
128737,10262,O,163177.18,1996-11-27,5-LOW,"Clerk#000000854",0,"es wake carefully enticing, ironic requests. furiously regular reques"
128738,8128,O,67826.19,1995-08-22,1-URGENT,"Clerk#000000988",0,its. blithely regular pinto beans about the blithely ironic
128739,1481,F,212687.31,1992-08-10,4-NOT SPECIFIED,"Clerk#000000616",0, the carefully silen
128740,9310,O,230469.53,1997-11-21,1-URGENT,"Clerk#000000513",0,e furiously bold accounts use furiously alongside of the final ideas. even re
128741,13870,F,75152.38,1994-07-19,5-LOW,"Clerk#000000725",0,the furiously ironic warhorses w
128742,11573,F,222552.28,1993-01-22,1-URGENT,"Clerk#000000312",0, packages are fluffily ironic frays. furiously even a
128743,14852,F,197031.69,1993-03-07,4-NOT SPECIFIED,"Clerk#000000071",0,s. fluffily ironic requests are enticingly carefully pending co
128768,1097,F,58701.87,1992-04-22,4-NOT SPECIFIED,"Clerk#000000898",0,he carefully express packages haggle bli
128769,8800,O,87121.35,1995-09-07,1-URGENT,"Clerk#000000736",0,special dinos. regular de
128770,1076,O,148394.37,1995-07-29,3-MEDIUM,"Clerk#000000065",0, regular deposits. furiously pending dependencies boost. furiously special de
128771,10469,F,117126.32,1994-01-07,2-HIGH,"Clerk#000000168",0, deposits wake carefully sl
128772,5023,F,17101.94,1992-09-22,4-NOT SPECIFIED,"Clerk#000000650",0, haggle blithely unusual braids. carefully express requests 
128773,13573,F,82134.50,1994-05-16,4-NOT SPECIFIED,"Clerk#000000131",0,riously against the blithely special requests. carefully ironic excuses at th
128774,11665,O,157088.81,1998-05-29,2-HIGH,"Clerk#000000237",0,ep carefully alongside of the blithely unusual foxes. regular deposit
128775,7246,O,45176.75,1997-06-18,5-LOW,"Clerk#000000608",0,ites haggle fluffily among the
128800,1267,O,218546.56,1997-11-20,3-MEDIUM,"Clerk#000000635",0,elets. slyly bold theodolites are furiously final excuses. fluffily iron
128801,11845,O,78323.21,1996-05-19,3-MEDIUM,"Clerk#000000245",0,y packages. dugouts
128802,14149,F,29533.01,1992-12-31,2-HIGH,"Clerk#000000298",0,ts haggle carefully by the slyly unusual 
128803,14869,F,118396.71,1995-02-01,3-MEDIUM,"Clerk#000000777",0,fully carefully regular ideas. brav
128804,11642,F,110782.94,1994-10-22,5-LOW,"Clerk#000000786",0,ts-- stealthily fluffy requests cajole carefully 
128805,1426,O,286831.82,1997-10-11,5-LOW,"Clerk#000000536",0,t blithely ironic instructions. bl
128806,9019,F,198049.42,1994-06-23,5-LOW,"Clerk#000000303",0,y. regular requests sleep quickly deposits. express reque
128807,9602,O,189496.48,1998-04-24,2-HIGH,"Clerk#000000269",0,lyly silent foxes sleep. final platel
128832,1666,P,214459.23,1995-04-21,1-URGENT,"Clerk#000000450",0,ithely careful excuses. fluffily pending accounts wake blithely finally eve
128833,1315,F,48168.38,1994-05-22,5-LOW,"Clerk#000000009",0, even depths cajole slyly regular asymptotes. foxes along
128834,4799,O,135406.91,1997-08-12,5-LOW,"Clerk#000000416",0,oost blithely against the blithely even dependencies
128835,10322,O,226399.22,1996-01-07,5-LOW,"Clerk#000000119",0,"pecial packages. fluffily ironic pearls about the bold, special dep"
128836,13729,F,226118.53,1992-09-20,3-MEDIUM,"Clerk#000000289",0,boost slyly regular packages.
128837,8923,F,13537.79,1993-02-07,3-MEDIUM,"Clerk#000000142",0,"ly silent asymptotes are quickly express, regular depos"
128838,5227,F,174015.80,1994-08-20,3-MEDIUM,"Clerk#000000126",0,fully regular requests. ironic 
128839,9457,F,43596.95,1993-03-16,3-MEDIUM,"Clerk#000000544",0,ly express foxes about the accounts sleep quickly express req
128864,5929,F,51395.46,1994-09-22,4-NOT SPECIFIED,"Clerk#000000326",0, even dependencies. carefully ironic pinto beans alongside of the quickly
128865,8312,O,378025.99,1997-05-24,1-URGENT,"Clerk#000000214",0,"nto beans cajole against the brave,"
128866,2540,F,34288.48,1994-01-28,2-HIGH,"Clerk#000000852",0,"lyly unusual packages detect fluffily regular, even foxes. doggedly special p"
128867,14539,F,127029.16,1992-11-28,5-LOW,"Clerk#000000592",0,fully. express theodolites integrate regular
128868,9805,O,104830.09,1995-10-26,2-HIGH,"Clerk#000000331",0,fully blithely unusual accounts. final warthogs are
128869,11614,F,50820.00,1993-05-18,4-NOT SPECIFIED,"Clerk#000000605",0,en ideas are quickly despite the final ide
128870,2812,O,190782.73,1996-12-23,5-LOW,"Clerk#000000945",0,ously silent accounts boost. instructions sleep sl
128871,6860,F,274065.01,1994-05-13,5-LOW,"Clerk#000000015",0,carefully around the blithely careful packages. furiously regular fox
128896,1504,F,16345.07,1992-01-19,1-URGENT,"Clerk#000000127",0,"y. ironic, even pinto beans against the final requests"
128897,13153,F,157260.22,1994-12-22,2-HIGH,"Clerk#000000551",0,", special accounts are-- fluffily express platele"
128898,2368,F,200741.12,1992-06-02,4-NOT SPECIFIED,"Clerk#000000094",0,d foxes; final requests sleep. quickly quiet 
128899,10960,O,120269.75,1996-08-31,2-HIGH,"Clerk#000000580",0,r packages. fluffily express deposits nag care
128900,11980,F,204672.42,1992-02-09,3-MEDIUM,"Clerk#000000294",0,quests. blithely pending dolphins after the ru
128901,13678,F,212923.94,1993-08-10,3-MEDIUM,"Clerk#000000167",0,ronic instructions. final packages wake blithely carefully pending dep
128902,9349,O,19195.19,1995-10-05,5-LOW,"Clerk#000000458",0,"ts cajole. regular asymptotes wake special, special theodolites. reque"
128903,3481,F,250394.09,1994-01-14,3-MEDIUM,"Clerk#000000121",0, deposits along the blithely
128928,3070,F,45883.41,1993-07-19,5-LOW,"Clerk#000000701",0,wake slyly alongside of the slyly express asymptotes. e
128929,1336,F,67784.54,1992-08-11,2-HIGH,"Clerk#000000741",0,refully. slow ideas wake blithely exp
128930,298,F,236332.21,1993-02-19,4-NOT SPECIFIED,"Clerk#000000700",0,pendencies integrate about the carefully 
128931,13310,O,40499.00,1995-12-28,3-MEDIUM,"Clerk#000000662",0,accounts should detect furiously above the final requests. fluff
128932,4571,P,158244.18,1995-03-09,5-LOW,"Clerk#000000891",0,y final requests whithout the final deposits affix across the fl
128933,12994,O,346507.18,1998-03-10,1-URGENT,"Clerk#000000307",0,xes are. carefully speci
128934,10334,F,51237.88,1994-02-23,2-HIGH,"Clerk#000000128",0,eposits. blithely regular requests believe slyly 
128935,2624,O,46758.33,1998-05-02,4-NOT SPECIFIED,"Clerk#000000657",0,ffily regular packages wake. ironi
128960,5818,O,163368.44,1995-11-26,2-HIGH,"Clerk#000000427",0,counts wake never. pending accounts are slyly ironic 
128961,8638,O,201956.80,1995-08-06,2-HIGH,"Clerk#000000845",0,"x furiously. final, ironic dol"
128962,4171,O,277293.74,1996-04-11,1-URGENT,"Clerk#000000810",0,kages sleep furiously af
128963,11446,F,66700.60,1993-04-19,4-NOT SPECIFIED,"Clerk#000000344",0,. slyly ironic accounts cajole stealthily along the furiously spec
128964,9784,F,243795.85,1993-03-30,4-NOT SPECIFIED,"Clerk#000000990",0,yly ironic packages. fluffily ironic instructions nag slyly 
128965,11365,F,178827.41,1992-07-23,4-NOT SPECIFIED,"Clerk#000000501",0,"ests are. brave, even "
128966,9811,O,83542.96,1997-04-12,5-LOW,"Clerk#000000024",0,ithely regular deposits sublate slyly along the carefully regular in
128967,10807,F,105508.47,1994-01-12,1-URGENT,"Clerk#000000745",0,gular requests. quickly regular theod
128992,3872,O,50232.68,1998-01-10,1-URGENT,"Clerk#000000352",0,out the permanently ironic foxes. furious
128993,6694,F,291548.37,1994-06-20,3-MEDIUM,"Clerk#000000489",0, packages sleep quickly unusual requ
128994,5026,F,15716.22,1994-12-15,1-URGENT,"Clerk#000000790",0,s nag slyly above the carefully idle requests. bold platelets alongsi
128995,12637,F,69006.78,1994-03-27,4-NOT SPECIFIED,"Clerk#000000637",0,e slyly special deposi
128996,1829,F,273149.35,1993-09-19,5-LOW,"Clerk#000000251",0,"press, express deposits. deposits nag bli"
128997,10165,O,59091.15,1995-12-15,4-NOT SPECIFIED,"Clerk#000000353",0,into beans. carefully even pinto beans about the special a
128998,12121,P,250296.35,1995-04-12,4-NOT SPECIFIED,"Clerk#000000216",0,s integrate fluffily around the furiously regular packag
128999,13564,F,144619.38,1994-06-14,5-LOW,"Clerk#000000293",0,"unusual deposits. packages haggle. pending, express dependenci"
129024,6611,F,5815.71,1992-12-22,4-NOT SPECIFIED,"Clerk#000000017",0,out the foxes. regular acc
129025,6823,O,118021.93,1998-06-03,5-LOW,"Clerk#000000229",0,"uthless deposits haggle final, even instructions. quickly even requ"
129026,9352,O,128613.89,1996-04-14,5-LOW,"Clerk#000000761",0,ut the packages. carefully ironic re
129027,2057,O,160989.85,1997-08-13,5-LOW,"Clerk#000000661",0,yly furiously silent accounts. close foxes use carefully accord
129028,11528,F,271516.90,1994-05-15,4-NOT SPECIFIED,"Clerk#000000933",0,"ding, final packages. accounts sleep--"
129029,4102,F,297327.27,1992-01-31,5-LOW,"Clerk#000000391",0,fully. slyly busy packages wake slyly carefully final pinto beans. special wat
129030,473,O,161232.09,1997-08-06,3-MEDIUM,"Clerk#000000121",0, regular forges wake furiously.
129031,304,O,60422.01,1997-05-03,5-LOW,"Clerk#000000513",0,"ke carefully according to the unusual, final theodolites. quickly regular ide"
129056,7751,O,223124.80,1998-04-15,5-LOW,"Clerk#000000105",0,lly pending accounts. carefully spec
129057,11005,F,307298.63,1992-10-13,2-HIGH,"Clerk#000000882",0,"d the silent, ironi"
129058,13711,O,142836.12,1995-11-05,2-HIGH,"Clerk#000000342",0,fully even requests nag q
129059,9634,F,21951.64,1992-08-28,5-LOW,"Clerk#000000330",0,s sleep furiously ironic pinto beans. blithely regular foxes are slyly pendin
129060,7822,F,43257.40,1994-11-14,3-MEDIUM,"Clerk#000000872",0,"xes. furiously special packages haggle furiously. ironic, even f"
129061,11701,O,192034.18,1997-09-25,3-MEDIUM,"Clerk#000000902",0,"ffix blithely slyly ironic instructions. quiet, pending deposits after the"
129062,8948,O,103183.52,1997-01-23,2-HIGH,"Clerk#000000066",0,y express deposits hang fi
129063,6563,O,133833.79,1996-06-10,2-HIGH,"Clerk#000000596",0,accounts. carefully final hockey players
129088,11258,F,28882.52,1993-11-07,5-LOW,"Clerk#000000543",0,"round the even, unusual accounts are fluff"
129089,9145,F,203644.20,1993-12-09,2-HIGH,"Clerk#000000839",0,posits boost fluffily alongside of the deposits. regul
129090,4595,O,106462.76,1997-09-22,3-MEDIUM,"Clerk#000000511",0,t furiously against the carefully final r
129091,443,F,110766.97,1992-11-23,3-MEDIUM,"Clerk#000000801",0,uffily outside the quickly regular du
129092,12142,O,262159.60,1995-10-18,5-LOW,"Clerk#000000075",0,uests along the furiously busy
129093,8534,F,253736.39,1992-08-28,2-HIGH,"Clerk#000000140",0,to the quickly ironic asymptotes-- special asymptotes are carefully
129094,599,P,210579.22,1995-03-03,5-LOW,"Clerk#000000180",0," instructions detect. bold, regular courts among t"
129095,12019,F,89126.49,1995-03-24,3-MEDIUM,"Clerk#000000804",0,ts. even foxes kindle. regular foxes wake blithely; regu
129120,11689,O,78369.86,1996-04-09,2-HIGH,"Clerk#000000668",0,"r platelets. accounts cajole. unusual, bold the"
129121,9442,F,42297.73,1992-01-25,2-HIGH,"Clerk#000000858",0, requests. blithely final courts nag carefully about the
129122,14611,O,155232.65,1995-12-16,2-HIGH,"Clerk#000000108",0,aphs. express accounts believe blithely carefully bold ideas. e
129123,5425,O,236183.20,1997-08-30,1-URGENT,"Clerk#000000867",0,totes across the regular packages wake around the b
129124,5236,F,149788.60,1992-11-26,3-MEDIUM,"Clerk#000000695",0,hely regular foxes. foxes engage blithely ironic foxes. instructions 
129125,9577,O,86173.74,1998-04-05,1-URGENT,"Clerk#000000670",0,osits. quickly final packages integrate furiously slyly even deposits. pack
129126,517,O,146320.12,1995-06-29,4-NOT SPECIFIED,"Clerk#000000671",0,carefully about the quickly regular deposits. furiously per
129127,3997,O,142431.01,1998-07-06,1-URGENT,"Clerk#000000985",0,refully slyly final depos
129152,4723,O,59894.23,1998-03-06,2-HIGH,"Clerk#000000313",0, carefully according to the fluffily bold t
129153,8176,O,141554.52,1997-02-04,5-LOW,"Clerk#000000048",0,es haggle quickly slyly special tithes. blithely even packages thrash furio
129154,6292,O,203471.70,1998-06-01,5-LOW,"Clerk#000000595",0,sts mold above the regular 
129155,700,F,80174.37,1993-09-29,2-HIGH,"Clerk#000000411",0, express requests x-ray slyly among the s
129156,3740,O,101437.95,1997-05-10,4-NOT SPECIFIED,"Clerk#000000637",0,"s wake slyly. final,"
129157,12856,O,81745.86,1997-06-20,5-LOW,"Clerk#000000826",0,lyly regular ideas. carefully final packages poach along the sly
129158,12035,O,2139.84,1998-01-02,1-URGENT,"Clerk#000000254",0,nal packages x-ray blithely furiou
129159,12200,F,162895.87,1992-11-02,1-URGENT,"Clerk#000000281",0,s according to the furiously regular instructions b
129184,8716,F,327555.35,1994-01-23,4-NOT SPECIFIED,"Clerk#000000193",0,ironic dolphins along the fina
129185,13132,O,74159.09,1996-01-01,1-URGENT,"Clerk#000000256",0, closely. furiously bold requests boost slyly bold as
129186,8707,O,152371.26,1995-12-22,2-HIGH,"Clerk#000000967",0,"fully even pearls boost final, final packages. bol"
129187,11668,F,105352.96,1993-06-02,5-LOW,"Clerk#000000369",0,"e carefully final pinto beans nag carefully regular deposits. pending, regu"
129188,6775,O,202734.51,1997-06-02,2-HIGH,"Clerk#000000567",0,structions. pending ideas among the special pinto beans are c
129189,10576,F,244738.15,1992-03-08,2-HIGH,"Clerk#000000786",0," slyly unusual, final accounts. furiously final pa"
129190,7285,O,105117.21,1997-03-06,1-URGENT,"Clerk#000000371",0,ully above the slyly final accounts. requests haggle furiously. furiously 
129191,6322,F,247223.84,1993-09-21,2-HIGH,"Clerk#000000523",0,"ous, ironic dependencies. carefully final accounts mainta"
129216,9958,F,47822.60,1994-07-03,2-HIGH,"Clerk#000000583",0,ts. carefully unusual
129217,1696,O,250073.96,1995-07-02,2-HIGH,"Clerk#000000832",0,lly final accounts boos
129218,8350,O,137359.40,1995-08-12,5-LOW,"Clerk#000000747",0,y along the special requests. slyly regular somas wake around the regular req
129219,2932,O,215022.98,1996-02-08,5-LOW,"Clerk#000000127",0,ke against the unusual re
129220,12302,O,87390.70,1996-01-31,5-LOW,"Clerk#000000503",0,ts wake furiously carefully silent requests. fluffily special ideas
129221,14371,O,65371.85,1997-08-25,4-NOT SPECIFIED,"Clerk#000000594",0,ts are carefully. slyly express accounts x-ray slyly special account
129222,746,F,206238.33,1993-08-25,4-NOT SPECIFIED,"Clerk#000000778",0,". ironic, regular asymptotes are bold "
129223,11339,F,114904.21,1994-03-30,3-MEDIUM,"Clerk#000000328",0,r instructions are final deposits
129248,3277,F,72716.61,1992-04-07,4-NOT SPECIFIED,"Clerk#000000738",0,d ideas are blithely final requests. finally special d
129249,1204,O,181316.35,1997-10-10,4-NOT SPECIFIED,"Clerk#000000352",0,arefully regular pin
129250,2612,O,153077.67,1998-07-10,4-NOT SPECIFIED,"Clerk#000000007",0,uriously regular requests. furiously pend
129251,8189,O,122521.63,1995-12-11,5-LOW,"Clerk#000000100",0,"nusual accounts? silent, ironic deposits maintain "
129252,7996,O,91830.14,1997-03-18,3-MEDIUM,"Clerk#000000111",0,refully final instructions. fluffily final account
129253,11609,F,242340.14,1994-12-22,2-HIGH,"Clerk#000000701",0,"e along the unusual, pending accounts. fluffily ironic asymptotes wake from "
129254,11651,O,29984.54,1995-06-18,3-MEDIUM,"Clerk#000000118",0,. carefully even instructions nag. instr
129255,6979,F,152183.03,1992-11-21,4-NOT SPECIFIED,"Clerk#000000381",0,lay along the slyly even asymptotes. blithely regular requests a
129280,2083,O,237322.87,1998-05-13,1-URGENT,"Clerk#000000643",0,side the regularly regular deposits affix caref
129281,6020,F,82107.10,1995-01-23,2-HIGH,"Clerk#000000928",0,"mong the unusual, bold packages. furiously regular ideas cajole acro"
129282,2881,O,214294.02,1996-07-14,1-URGENT,"Clerk#000000962",0,structions. slowly ironic excuses slee
129283,5881,F,128677.52,1992-06-03,4-NOT SPECIFIED,"Clerk#000000688",0,ainst the final accounts cajole sl
129284,11077,O,283264.89,1996-09-11,1-URGENT,"Clerk#000000778",0,ld ideas detect furiously.
129285,2764,O,276242.03,1998-03-21,4-NOT SPECIFIED,"Clerk#000000470",0,leep carefully final packages. slyly bold theodolites cajole acro
129286,6743,F,106865.87,1992-03-07,3-MEDIUM,"Clerk#000000892",0,e. blithely final deposits sublate q
129287,14578,O,144688.24,1996-03-06,2-HIGH,"Clerk#000000194",0,uests. furiously even attain
129312,14413,F,237985.03,1992-12-10,1-URGENT,"Clerk#000000735",0,"gular ideas. unusual, pending accounts inside the unu"
129313,2659,O,138310.52,1996-10-20,3-MEDIUM,"Clerk#000000894",0,"requests. carefully special accounts might are. silent, unusua"
129314,4240,F,71364.32,1992-08-17,3-MEDIUM,"Clerk#000000918",0,lyly packages. carefully unusual asymptotes affix flu
129315,9473,F,62800.72,1993-09-19,4-NOT SPECIFIED,"Clerk#000000555",0,enly. quietly special de
129316,13060,F,231867.71,1992-04-01,4-NOT SPECIFIED,"Clerk#000000385",0, even deposits hinder slyly fluffily pendi
129317,4291,F,266272.66,1993-12-30,4-NOT SPECIFIED,"Clerk#000000685",0,tions mold slyly. slyly express ideas alongside of the ironic foxes nod 
129318,13771,O,132211.22,1995-10-15,1-URGENT,"Clerk#000000917",0,into beans sleep fluffily express instructions. 
129319,1087,O,101796.69,1996-07-01,2-HIGH,"Clerk#000000533",0, dogged packages boost. deposits wake fluffily slyly express theodolites: qui
129344,13421,O,140439.43,1997-10-10,1-URGENT,"Clerk#000000080",0," blithely ironic, even accounts! pending, regu"
129345,7937,F,246302.83,1993-05-30,2-HIGH,"Clerk#000000076",0,thely final foxes are fluffily foxes. furiously fina
129346,6556,P,80341.67,1995-05-29,4-NOT SPECIFIED,"Clerk#000000728",0, final ideas sleep according to the fi
129347,13232,O,199444.64,1995-12-25,3-MEDIUM,"Clerk#000000069",0, finally final theodolites wake blithely among the requests. foxes haggl
129348,8926,F,197062.57,1994-06-30,3-MEDIUM,"Clerk#000000502",0,ess foxes. furiously bold excuses cajole; slyly specia
129349,2087,O,95377.81,1996-12-09,4-NOT SPECIFIED,"Clerk#000000623",0,ts about the ideas wake slyly ironic depo
129350,6076,F,144879.46,1994-06-14,1-URGENT,"Clerk#000000216",0,mong the slowly ironic deposits? furious theodolites among the regular dolphi
129351,2171,O,208381.32,1997-09-08,4-NOT SPECIFIED,"Clerk#000000147",0,s. even requests use quickly slyly bold courts. 
129376,11861,F,210208.89,1992-11-29,1-URGENT,"Clerk#000000736",0,"ges alongside of the never unusual foxes cajole blithely even, iro"
129377,12619,F,34092.69,1994-03-17,1-URGENT,"Clerk#000000234",0,xpress requests are above the special requests. slyly pending pinto beans acro
129378,3896,F,158101.06,1994-02-14,2-HIGH,"Clerk#000000899",0,"quickly. final, regul"
129379,3466,O,304061.87,1998-05-07,2-HIGH,"Clerk#000000447",0,pinto beans sleep a
129380,5512,F,22541.36,1992-02-02,4-NOT SPECIFIED,"Clerk#000000281",0,ously silent dependencies. slyly pending foxes bo
129381,13108,O,178342.39,1998-01-04,1-URGENT,"Clerk#000000820",0,rash. blithely pending dolph
129382,3647,F,24197.23,1994-09-06,5-LOW,"Clerk#000000999",0,yly furious deposits. carefully unusual theodolites haggle across the even 
129383,8251,F,106921.73,1993-01-15,4-NOT SPECIFIED,"Clerk#000000433",0,ounts use pinto beans. regular asymptotes affix slyly after the slyly unusual
129408,13654,O,283890.68,1996-11-16,2-HIGH,"Clerk#000000649",0,l the final courts. quickly even 
129409,5458,O,302315.43,1998-06-19,2-HIGH,"Clerk#000000540",0,y idle Tiresias pro
129410,1690,O,83745.70,1997-03-27,2-HIGH,"Clerk#000000361",0,lly above the furiousl
129411,7945,O,128351.24,1996-04-03,2-HIGH,"Clerk#000000443",0,haggle under the regul
129412,409,O,137883.32,1995-06-08,2-HIGH,"Clerk#000000741",0,use. furiously regular 
129413,3151,F,150385.66,1993-01-04,5-LOW,"Clerk#000000913",0,s cajole! quickly bold i
129414,13997,F,68852.89,1992-10-16,1-URGENT,"Clerk#000000946",0,"ly carefully special accounts. ironic, daring accounts cajole furiousl"
129415,11890,F,54918.17,1992-02-29,3-MEDIUM,"Clerk#000000917",0,ages boost quickly about the final accou
129440,12931,F,111505.49,1994-07-27,3-MEDIUM,"Clerk#000000083",0,sly ironic requests wake about the furiously express sheaves. 
129441,14159,F,104185.19,1994-02-24,1-URGENT,"Clerk#000000811",0, deposits. quickly ir
129442,12076,O,213955.50,1998-03-27,2-HIGH,"Clerk#000000330",0,foxes grow slyly after the deposits. fluffily even packages a
129443,9307,O,155474.32,1996-09-16,4-NOT SPECIFIED,"Clerk#000000211",0,"g carefully ironic, regular ac"
129444,259,O,265794.48,1997-02-04,2-HIGH,"Clerk#000000230",0,leep furiously even excuse
129445,13954,O,116522.39,1996-04-30,2-HIGH,"Clerk#000000245",0,ously. blithely bold accounts hinder quickly dogge
129446,13868,F,106493.42,1993-12-22,2-HIGH,"Clerk#000000262",0, could have to sleep carefully sp
129447,8914,F,256699.61,1994-04-30,1-URGENT,"Clerk#000000382",0, pending tithes. per
129472,6275,F,215046.76,1992-07-27,3-MEDIUM,"Clerk#000000533",0," even, regular accounts. carefully final dependencies haggle ac"
129473,2138,F,226085.02,1993-02-04,4-NOT SPECIFIED,"Clerk#000000364",0,ld dependencies. blithely unusual 
129474,2107,F,41499.69,1995-02-04,3-MEDIUM,"Clerk#000000214",0,ag furiously about the unusual requests. quickl
129475,8401,F,175670.79,1995-02-20,3-MEDIUM,"Clerk#000000399",0,sual asymptotes sleep furiously even packages: pending asymptotes are accordin
129476,11435,F,227984.87,1994-06-21,5-LOW,"Clerk#000000036",0, instructions impress furiously. slyly pending esca
129477,9727,O,299828.72,1997-11-15,5-LOW,"Clerk#000000841",0, platelets. furiously regular theodolites cajole carefully bold instruc
129478,10198,P,231363.78,1995-04-17,5-LOW,"Clerk#000000122",0,arefully bold foxes should 
